3Ltr,Company,Country,Telephony,FriendlyName
AAA,AVICON AVIATION CONSULTANTS & AGENTS,PAKISTAN,,Avicon Aviation Consultants & Agents
AAB,ABELAG AVIATION,BELGIUM,ABG,Abelag Aviation
AAC,ARMY AIR CORPS,UNITED KINGDOM,ARMYAIR,Army Air Corps
AAD,ARRENDAMIENTOS AEREOS,PANAMA,PANABEAR,Arrendamientos Aereos
AAE,AIR ATLANTA EUROPE,MALTA,EUROVIKING,Air Atlanta Europe
AAF,AIGLE AZUR,FRANCE,AIGLE AZUR,Aigle Azur
AAG,ARMENIAN AIRLINES LLC,ARMENIA,APRICOT,Armenian Airlines
AAH,"AEKO KULA, INC. D/B/A ALOHA AIR CARGO (HONOLULU, HI)",UNITED STATES,ALOHA,Aloha Air Cargo
AAI,"AIR AURORA, INC. (SUGAR GROVE, IL)",UNITED STATES,BOREALIS,Air Aurora
AAJ,"ALFA AIRLINES CO., LTD",SUDAN,ALFA SUDAN,Alfa Airlines
AAK,"ALASKA ISLAND AIR, INC. (ANCHORAGE, AK)",UNITED STATES,ALASKA ISLAND,Alaska Island Air
AAL,AMERICAN AIRLINES INC.,UNITED STATES,AMERICAN,American Airlines
AAM,AIM AIR,REPUBLIC OF MOLDOVA,AIM AIR,Aim Air
AAN,CTR ATMOSPHERICA AVIATION A.S.,CZECHIA,ATMOJET,CTR Atmospherica Aviation
AAO,ALPHA AVIATION S.R.O.,CZECHIA,HERO,Alpha Aviation
AAP,ARABASCO AIR SERVICES,SAUDI ARABIA,ARABASCO,Arabasco Air Services
AAQ,"ASIA ATLANTIC AIRLINES CO., LTD",THAILAND,ASIA ATLANTIC,Asia Atlantic Airlines
AAR,ASIANA AIRLINES,REPUBLIC OF KOREA,ASIANA,Asiana Airlines
AAS,ASKARI AVIATION (PVT) LTD,PAKISTAN,AL-AAS,Askari Aviation
AAT,CONGO FALCON,CONGO,AFRICA AIRLINES,Africa Airlines
AAU,AEROPA S.R.L.,ITALY,,Aeropa
AAV,"ASTRO AIR INTERNATIONAL, INC. DBA OF PAN PACIFIC AIRLINES",PHILIPPINES,ASTRO-PHIL,Pan Pacific Airlines
AAW,AFRICAN AIRLINES CORPORATION,LIBYA,AFRIQIYAH,Afriqiyah Airways
AAX,"ADVANCE AVIATION CO., LTD",THAILAND,ADVANCE AVIATION,Advance Aviation
AAY,"ALLEGIANT AIR, INC. (FRESNO, CA)",UNITED STATES,ALLEGIANT,Allegiant Air
AAZ,AEOLUS AIR LIMITED,GAMBIA,AEOLUS,Aeolus Air Limited
ABA,"AERO-BETA GMBH & CO., STUTTGART",GERMANY,AEROBETA,Aero-Beta
ABB,AIR BELGIUM SA,BELGIUM,AIR BELGIUM,Air Belgium
ABD,AIR ATLANTA ICELANDIC,ICELAND,ATLANTA,Air Atlanta Icelandic
ABE,ABAN AIR,IRAN (ISLAMIC REPUBLIC OF),ABAN,Aban Air
ABF,"SCANWINGS OY, FINLAND",FINLAND,SKYWINGS,Scanwings Finland
ABG,"ROYAL FLIGHT AIRLINES, CJSC",RUSSIAN FEDERATION,ROYAL FLIGHT,Royal Flight Airlines
ABH,"HOKURIKU-KOUKUU CO., LTD",JAPAN,,Hokuriku Koukuu
ABI,"ALBA-AIR AVIACION, S.L.",SPAIN,AIRALBACETE,Alba Air
ABJ,ATA - AEROTAXI ABAETE LTDA,BRAZIL,ABAETE,ATA Aerotaxi Abaete
ABK,AIRBUS CANADA,CANADA,AIRBUS CANUCK,Airbus Canada
ABL,AIR BUSAN,REPUBLIC OF KOREA,AIR BUSAN,Air Busan
ABM,AERO ALBATROS,SPAIN,ALBATROS ESPANA,Aero Albatros
ABN,AIR ALBANIA,ALBANIA,AIR ALBANIA,Air Albania
ABO,AEROEXPRESO BOGOTA,COLOMBIA,AEROEXPRESO,APSA Colombia
ABP,ABS JETS,CZECHIA,BAIR,ABS Jets
ABQ,"AIRBLUE LIMITED, M/S.",PAKISTAN,PAKBLUE,Airblue
ABR,ASL AIRLINES (IRELAND) LIMITED,IRELAND,CONTRACT,ASL Airlines Ireland
ABS,AFRIJET BUSINESS SERVICES (ABS),GABON,,Afrijet Business Services
ABT,BENIN AIRLINES,BENIN,BENWAYS,Benin Airlines
ABU,"EAGLE AVIATION SERVICES, INC. (FT. WORTH, TX)",UNITED STATES,,Eagle Aviation Services
ABV,ASL AIRLINES UK,UNITED KINGDOM,CARGOBLUE,ASL Airlines UK
ABW,AIRBRIDGE CARGO AIRLINES LTD,RUSSIAN FEDERATION,AIRBRIDGE CARGO,AirBridgeCargo
ABX,"ABX AIR, INC. (WILMINGTON, OH)",UNITED STATES,ABEX,ABX Air
ABY,AIR ARABIA,UNITED ARAB EMIRATES,ARABIA,Air Arabia
ABZ,AIR AMBULANCE SERVICES LIMITED,BAHAMAS,ISLAND LIFEFLIGHT,Air Ambulance Services
ACA,AIR CANADA,CANADA,AIR CANADA,Air Canada
ACB,AIR CONTINENTAL AFRICA,GABON,AIRCONTI,Air Continental Africa
ACC,AIRSPEED CHARTER LTD.,JAMAICA,,Airspeed Charter
